code,name,lat,long,tambon,amphoe,province,provinceEng,basin,region,regionEng,station_type
TAKL,อบต.ตาดกลอย,17.0035264,101.3660416,ตาดกลอย,หล่มเก่า,เพชรบูรณ์,Phetchabun,แม่น้ำป่าสัก,ภาคเหนือ,North,R
BNTK,อบต.ตากออก,17.0602816,99.064992,ตากออก,บ้านตาก,ตาก,Tak,แม่น้ำปิง,ภาคเหนือ,North,R
WCBR,ทม.วิเชียรบุรี,15.6573136,101.124768,ท่าโรง,วิเชียรบุรี,เพชรบูรณ์,Phetchabun,แม่น้ำป่าสัก,ภาคเหนือ,North,R
PPCT,อบต.พบพระ,16.4163184,98.6871424,พบพระ,พบพระ,ตาก,Tak,แม่น้ำสาละวิน,ภาคเหนือ,North,R
HOTT,อบต.หางดง,18.1619776,98.6085824,หางดง,ฮอด,เชียงใหม่,Chiang Mai,แม่น้ำปิง,ภาคเหนือ,North,R
PRGB,อบต.ปากแคว,17.0140464,99.814208,ปากแคว,เมืองสุโขทัย,สุโขทัย,Sukhothai,แม่น้ำยม,ภาคเหนือ,North,R
THCG,ทต.ทุ่งหัวช้าง,18.0034384,99.026912,ทุ่งหัวช้าง,ทุ่งหัวช้าง,ลำพูน,Lamphun,แม่น้ำปิง,ภาคเหนือ,North,R
SSRG,ทต.ศรีสำโรง,17.1682688,99.8726464,สามเรือน,ศรีสำโรง,สุโขทัย,Sukhothai,แม่น้ำยม,ภาคเหนือ,North,R
NMPT,ทต.น้ำปาด,17.7253184,100.6814016,แสนตอ,น้ำปาด,อุตรดิตถ์,Uttaradit,แม่น้ำน่าน,ภาคเหนือ,North,R
TGSK,ทต.ทองแสนขัน,17.4679088,100.3324672,ป่าคาย,ทองแสนขัน,อุตรดิตถ์,Uttaradit,แม่น้ำน่าน,ภาคเหนือ,North,R
DCCT,ทต.เด่นชัย,17.9836368,100.0516864,เด่นชัย,เด่นชัย,แพร่,Phrae,แม่น้ำยม,ภาคเหนือ,North,R
WCHN,อบต.วังชิ้น,17.878864,99.619232,วังชิ้น,วังชิ้น,แพร่,Phrae,แม่น้ำยม,ภาคเหนือ,North,R
MSRM,อบต.แม่คง,18.1608096,97.917568,แม่คง,แม่สะเรียง,แม่ฮ่องสอน,Mae Hong Son,แม่น้ำสาละวิน,ภาคเหนือ,North,R
NMKO,อบต.หนองไม้กอง,16.4356768,99.9451136,หนองไม้กอง,ไทรงาม,กำแพงเพชร,Kamphaeng Phet,แม่น้ำยม,ภาคเหนือ,North,R
KGLN,ทต.คลองลานพัฒนา,16.12252,99.329312,คลองลานพัฒนา,คลองลาน,กำแพงเพชร,Kamphaeng Phet,แม่น้ำปิง,ภาคเหนือ,North,R
TETN,อบต.แม่ปะ,17.6518064,99.2675712,แม่ปะ,เถิน,ลำปาง,Lampang,แม่น้ำวัง,ภาคเหนือ,North,R
