code,name,lat,long,tambon,amphoe,province,basin,region,station_type
BNAK  ,อบต.บ้านแมด,14.8545296,105.3219584,บ้านแมด,บุณฑริก,อุบลราชธานี,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
KANG  ,อบต.แก้ง,14.7103008,105.0179840,แก้ง,เดชอุดม,อุบลราชธานี,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
DOCI  ,ทต.ทาสบเส้า,18.4653920,99.1267456,ทาสบเส้า,แม่ทา,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R
RAWE  ,อบต.ระเว,15.3100384,105.2790656,ระเว,พิบูลมังสาหาร,อุบลราชธานี,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
NBLK  ,อบต.หนองบัวละคร,15.2542496,101.8664064,หนองบัวละคร,ด่านขุนทด,นครราชสีมา,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
TLPC  ,อบต.ขนงพระ,14.6068784,101.4563072,ขนงพระ,ปากช่อง,นครราชสีมา,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
KHOG  ,ทต.เมืองคง,15.4437488,102.3284352,เมืองคง,คง,นครราชสีมา,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
BGRT  ,ทต.กงรถ,15.0136448,102.7485952,กงรถ,ห้วยแถลง,นครราชสีมา,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
BDAR  ,ทต.ดอนอะราง,14.5870416,102.4956672,ดอนอะราง,หนองกี่,บุรีรัมย์,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
KNDG  ,อบต.แคนดง,15.3082736,103.1240320,แคนดง,แคนดง,บุรีรัมย์,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
HYRT  ,ทต.ห้วยราช,14.9733584,103.1865216,ห้วยราช,ห้วยราช,บุรีรัมย์,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
BSKJ  ,อบต.ละหานทราย,14.3956896,102.8472256,ละหานทราย,ละหานทราย,บุรีรัมย์,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
KKHA  ,อบต.เทพราช,8.8580592,99.8636672,เทพราช,สิชล,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันออก,ภาคใต้,R
LNRG  ,อบต.ลำนางรอง,14.1888576,102.6847552,ลำนางรอง,โนนดินแดง,บุรีรัมย์,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
MGTI  ,อบต.นอกเมือง,14.8507856,103.4977600,นอกเมือง,เมืองสุรินทร์,สุรินทร์,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
BTHI  ,ศูนย์อปพร. ทต.บ้านธิ,18.6517664,99.1165120,บ้านธิ,บ้านธิ,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R
NANP  ,ทต.นาหนองไผ่,15.3504976,103.4760832,นาหนองไผ่,ชุมพลบุรี,สุรินทร์,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
PRST  ,อบต.กังแอน,14.6454112,103.4362816,กังแอน,ปราสาท,สุรินทร์,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,R
BPLA  ,อบต.เขาไชยราช,10.9443464,99.2975552,เขาไชยราช,ปะทิว,ชุมพร,ภาคใต้ฝั่งตะวันออก,ภาคใต้,R
TEPT  ,อบต.โคกเริงรมย์,15.3994576,101.6025920,โคกเริงรมย์,บำเหน็จณรงค์,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
SMSU  ,ทต.บ้านเต่า,16.3556384,102.3785984,บ้านเต่า,บ้านแท่น,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R
LHOK  ,อบต.เหล่ากอหก,17.4963824,100.8875136,เหล่ากอหก,นาแห้ว,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R
